百视通赛事6,239.5.1.75:5000
百视通赛事7,239.5.1.76:5000
百视通赛事8,239.5.1.77:5000
百视通赛事9,239.5.1.78:5000
百视通赛事10,239.5.1.79:5000
百视通赛事11,239.5.1.80:5000
CHC家庭影院,239.5.1.50:5000
CHC电影,239.5.1.51:5000
CHC动作电影,239.5.1.52:5000
法治天地,239.5.1.63:5000
金色频道,239.5.1.64:5000
快乐垂钓,239.5.1.67:5000
茶,239.5.1.68:5000
CBN每日影院,239.5.1.105:5000
CBN风尚生活,239.5.1.106:5000
CBN幸福剧场,239.5.1.107:5000
CBN幸福娱乐,239.5.1.108:5000
足球频道,239.5.1.113:5000
健康直通车,239.5.1.141:5000
爱心扶贫,239.5.1.132:5000
文艺广播,239.5.0.113:5000
经济广播,239.5.0.114:5000
新闻广播,239.5.0.115:5000
生活广播,239.5.0.116:5000
交通广播,239.5.0.117:5000
相声广播,239.5.0.118:5000
小说广播,239.5.0.119:5000
滨海广播,239.5.0.120:5000
音乐广播,239.5.0.121:5000
动听885,239.5.0.122:5000
风云足球,239.5.1.119:5000
高尔夫网球,239.5.1.120:5000
第一剧场,239.5.1.121:5000
怀旧剧场,239.5.1.122:5000
风云剧场,239.5.1.123:5000
世界地理,239.5.1.124:5000
兵器科技,239.5.1.125:5000
央视文化精品,239.5.1.126:5000
女性时尚,239.5.1.127:5000
风云音乐,239.5.1.128:5000
电视指南,239.5.1.129:5000
央视台球,239.5.1.130:5000
卫生健康,239.5.1.131:5000
体育赛事频道,239.5.1.133:5000
潮流音乐,239.5.1.90:5000
超清影视,239.5.1.33:5000
食全食美,239.5.1.49:5000
羽球精品赛事,239.5.1.66:5000
街舞地带,239.5.1.34:5000
超清乐享,239.5.1.142:5000
初三云课堂,239.5.0.133:5000
亲子游戏,239.5.0.143:5000
4K直播,239.5.1.136:5000
学而思直播课一年级,239.5.0.135:5000
学而思直播课二年级,239.5.0.136:5000
学而思直播课三年级,239.5.0.137:5000
学而思直播课四年级,239.5.0.138:5000
学而思直播课五年级,239.5.0.139:5000
学而思直播课六年级,239.5.0.140:5000
经典老片场,239.5.1.116:5000
经典重温,239.5.1.115:5000
快乐英语ABC,239.5.1.134:5000
801频道,239.5.0.123:5000
802频道,239.5.1.62:5000
IPTV足球,239.5.0.100:5000
赛事频道,239.5.1.48:5000
电信905频道,239.5.1.118:5000
电信908频道,239.5.1.117:5000
