122.114.131.154:4000,#genre#
CCTV12,http://61.173.159.249:9003/hls/12/index.m3u8
CCTV13,http://61.173.159.249:9003/hls/13/index.m3u8
东南卫视,http://61.173.159.249:9003/hls/36/index.m3u8
东方卫视,http://61.173.159.249:9003/hls/14/index.m3u8
北京卫视,http://61.173.159.249:9003/hls/20/index.m3u8
四川卫视,http://61.173.159.249:9003/hls/22/index.m3u8
天津卫视,http://61.173.159.249:9003/hls/23/index.m3u8
安徽卫视,http://61.173.159.249:9003/hls/24/index.m3u8
山东卫视,http://61.173.159.249:9003/hls/25/index.m3u8
山西卫视,http://61.173.159.249:9003/hls/35/index.m3u8
广东卫视,http://61.173.159.249:9003/hls/26/index.m3u8
广西卫视,http://61.173.159.249:9003/hls/27/index.m3u8
江苏卫视,http://61.173.159.249:9003/hls/28/index.m3u8
江西卫视,http://61.173.159.249:9003/hls/29/index.m3u8
河北卫视,http://61.173.159.249:9003/hls/30/index.m3u8
河南卫视,http://61.173.159.249:9003/hls/31/index.m3u8
浙江卫视,http://61.173.159.249:9003/hls/32/index.m3u8
深圳卫视,http://61.173.159.249:9003/hls/33/index.m3u8
湖北卫视,http://61.173.159.249:9003/hls/34/index.m3u8
湖南卫视,http://61.173.159.249:9003/hls/21/index.m3u8
贵州卫视,http://61.173.159.249:9003/hls/37/index.m3u8
辽宁卫视,http://61.173.159.249:9003/hls/38/index.m3u8
黑龙江卫视,http://61.173.159.249:9003/hls/40/index.m3u8
第一财经,http://61.173.159.249:9003/hls/15/index.m3u8
五星体育,http://61.173.159.249:9003/hls/16/index.m3u8
东方财经,http://61.173.159.249:9003/hls/17/index.m3u8
上海新闻,http://61.173.159.249:9003/hls/18/index.m3u8
法治天地,http://61.173.159.249:9003/hls/19/index.m3u8

218.1.208.13:7777,#genre#
CCTV1,http://218.1.208.13:7777/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://218.1.208.13:7777/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://218.1.208.13:7777/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://218.1.208.13:7777/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://218.1.208.13:7777/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://218.1.208.13:7777/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://218.1.208.13:7777/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://218.1.208.13:7777/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://218.1.208.13:7777/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://218.1.208.13:7777/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://218.1.208.13:7777/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://218.1.208.13:7777/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://218.1.208.13:7777/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://218.1.208.13:7777/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://218.1.208.13:7777/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://218.1.208.13:7777/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://218.1.208.13:7777/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://218.1.208.13:7777/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
三沙卫视,http://218.1.208.13:7777/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://218.1.208.13:7777/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://218.1.208.13:7777/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://218.1.208.13:7777/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
兵团卫视,http://218.1.208.13:7777/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://218.1.208.13:7777/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://218.1.208.13:7777/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://218.1.208.13:7777/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://218.1.208.13:7777/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://218.1.208.13:7777/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://218.1.208.13:7777/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://218.1.208.13:7777/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://218.1.208.13:7777/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://218.1.208.13:7777/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://218.1.208.13:7777/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://218.1.208.13:7777/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://218.1.208.13:7777/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://218.1.208.13:7777/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://218.1.208.13:7777/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://218.1.208.13:7777/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://218.1.208.13:7777/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://218.1.208.13:7777/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://218.1.208.13:7777/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://218.1.208.13:7777/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://218.1.208.13:7777/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://218.1.208.13:7777/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://218.1.208.13:7777/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://218.1.208.13:7777/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://218.1.208.13:7777/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://218.1.208.13:7777/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://218.1.208.13:7777/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://218.1.208.13:7777/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://218.1.208.13:7777/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://218.1.208.13:7777/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&authid=0
新闻综合,http://218.1.208.13:7777/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
都市频道,http://218.1.208.13:7777/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
纪实人文,http://218.1.208.13:7777/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
东方影视,http://218.1.208.13:7777/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
第一财经,http://218.1.208.13:7777/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
五星体育,http://218.1.208.13:7777/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
东方财经,http://218.1.208.13:7777/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
ICS频道,http://218.1.208.13:7777/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
上海教育台,http://218.1.208.13:7777/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
法治天地,http://218.1.208.13:7777/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
金色学堂,http://218.1.208.13:7777/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://218.1.208.13:7777/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
财富天下,http://218.1.208.13:7777/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
CETV,http://218.1.208.13:7777/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://218.1.208.13:7777/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷少儿,http://218.1.208.13:7777/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://218.1.208.13:7777/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://218.1.208.13:7777/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷卡通,http://218.1.208.13:7777/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0
游戏风云,http://218.1.208.13:7777/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&authid=0

171.38.222.98:8082,#genre#
广西柳州_171.38.222.98,http://171.38.222.98:8082

39.152.227.215:808,#genre#
CCTV1,http://39.152.227.215:808/hls/1/index.m3u8
CCTV3,http://39.152.227.215:808/hls/2/index.m3u8
CCTV5,http://39.152.227.215:808/hls/3/index.m3u8
CCTV6,http://39.152.227.215:808/hls/4/index.m3u8
CCTV14,http://39.152.227.215:808/hls/5/index.m3u8
CCTV15,http://39.152.227.215:808/hls/6/index.m3u8
北京卫视,http://39.152.227.215:808/hls/7/index.m3u8
广东卫视,http://39.152.227.215:808/hls/8/index.m3u8
重庆卫视,http://39.152.227.215:808/hls/9/index.m3u8
黑龙江卫视,http://39.152.227.215:808/hls/10/index.m3u8
云南卫视,http://39.152.227.215:808/hls/11/index.m3u8
贵州卫视,http://39.152.227.215:808/hls/12/index.m3u8
山东卫视,http://39.152.227.215:808/hls/13/index.m3u8
安徽卫视,http://39.152.227.215:808/hls/14/index.m3u8
深圳卫视,http://39.152.227.215:808/hls/15/index.m3u8
湖北卫视,http://39.152.227.215:808/hls/16/index.m3u8
湖北卫视,http://39.152.227.215:808/hls/17/index.m3u8
四川卫视,http://39.152.227.215:808/hls/18/index.m3u8
辽宁卫视,http://39.152.227.215:808/hls/19/index.m3u8
东南卫视,http://39.152.227.215:808/hls/20/index.m3u8
广西卫视,http://39.152.227.215:808/hls/21/index.m3u8
河北卫视,http://39.152.227.215:808/hls/22/index.m3u8
吉林卫视,http://39.152.227.215:808/hls/23/index.m3u8
山西卫视,http://39.152.227.215:808/hls/24/index.m3u8
CCTV-1 综合,http://39.152.227.215:808/hls/1/index.m3u8
CCTV-3 综艺,http://39.152.227.215:808/hls/2/index.m3u8
CCTV-5 体育,http://39.152.227.215:808/hls/3/index.m3u8
CCTV-6 电影,http://39.152.227.215:808/hls/4/index.m3u8
CCTV-14 少儿,http://39.152.227.215:808/hls/5/index.m3u8
CCTV-15 音乐,http://39.152.227.215:808/hls/6/index.m3u8

112.255.253.148:9001,#genre#
CCTV1,http://112.255.253.148:9001/hls/1/index.m3u8
CCTV2,http://112.255.253.148:9001/hls/2/index.m3u8
CCTV3,http://112.255.253.148:9001/hls/3/index.m3u8
CCTV4,http://112.255.253.148:9001/hls/4/index.m3u8
CCTV5,http://112.255.253.148:9001/hls/5/index.m3u8
CCTV5+,http://112.255.253.148:9001/hls/6/index.m3u8
CCTV6,http://112.255.253.148:9001/hls/7/index.m3u8
CCTV7,http://112.255.253.148:9001/hls/8/index.m3u8
CCTV8,http://112.255.253.148:9001/hls/9/index.m3u8
CCTV9,http://112.255.253.148:9001/hls/10/index.m3u8
CCTV10,http://112.255.253.148:9001/hls/11/index.m3u8
CCTV11,http://112.255.253.148:9001/hls/12/index.m3u8
CCTV12,http://112.255.253.148:9001/hls/13/index.m3u8
CCTV13,http://112.255.253.148:9001/hls/14/index.m3u8
山东卫视,http://112.255.253.148:9001/hls/15/index.m3u8
湖南卫视,http://112.255.253.148:9001/hls/16/index.m3u8
浙江卫视,http://112.255.253.148:9001/hls/17/index.m3u8
东方卫视,http://112.255.253.148:9001/hls/18/index.m3u8
