======================================================================
IPTV 酒店源流量测试报告 (2026-04-02 21:26:43)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
221.11.56.114:8888        | 存活:3 | 均值:2.48Mbps | 峰值:4.85Mbps
111.14.222.117:3333       | 存活:3 | 均值:8.23Mbps | 峰值:14.66Mbps
112.123.243.37:50085      | 存活:3 | 均值:4.34Mbps | 峰值:14.46Mbps
1.31.14.70:54321          | 存活:3 | 均值:1.38Mbps | 峰值:1.77Mbps
61.163.179.201:808        | 存活:3 | 均值:8.22Mbps | 峰值:10.6Mbps
39.105.190.112:8009       | 存活:3 | 均值:1.52Mbps | 峰值:3.5Mbps
61.138.82.196:808         | 存活:3 | 均值:8.96Mbps | 峰值:11.42Mbps
221.7.175.127:9901        | 存活:3 | 均值:0.16Mbps | 峰值:0.3Mbps
116.228.170.214:888       | 存活:3 | 均值:0.26Mbps | 峰值:0.39Mbps
27.129.145.110:4433       | 存活:3 | 均值:5.1Mbps | 峰值:10.59Mbps
59.45.161.118:8877        | 存活:3 | 均值:6.19Mbps | 峰值:10.17Mbps
113.25.252.226:9901       | 存活:3 | 均值:2.18Mbps | 峰值:4.76Mbps
121.19.134.146:808        | 存活:1 | 均值:0.08Mbps | 峰值:0.08Mbps
219.139.124.61:8089       | 存活:3 | 均值:6.35Mbps | 峰值:10.11Mbps
120.198.95.220:9901       | 存活:3 | 均值:3.43Mbps | 峰值:6.02Mbps
1.24.39.180:808           | 存活:3 | 均值:7.53Mbps | 峰值:11.19Mbps
221.14.142.118:8000       | 存活:3 | 均值:6.66Mbps | 峰值:9.95Mbps
112.237.16.225:7001       | 存活:3 | 均值:7.5Mbps | 峰值:11.84Mbps
101.95.21.250:10081       | 存活:3 | 均值:0.45Mbps | 峰值:0.66Mbps
222.214.208.34:59901      | 存活:3 | 均值:3.26Mbps | 峰值:6.78Mbps
122.114.131.154:4007      | 存活:3 | 均值:0.89Mbps | 峰值:1.03Mbps
119.39.9.8:9901           | 存活:3 | 均值:4.23Mbps | 峰值:6.22Mbps
122.114.131.154:4021      | 存活:3 | 均值:0.78Mbps | 峰值:0.9Mbps
218.104.239.114:9901      | 存活:3 | 均值:2.12Mbps | 峰值:2.57Mbps
113.200.114.168:20000     | 存活:3 | 均值:3.63Mbps | 峰值:5.9Mbps
182.91.124.61:8801        | 存活:3 | 均值:0.76Mbps | 峰值:1.35Mbps
171.117.226.241:9003      | 存活:3 | 均值:0.39Mbps | 峰值:0.52Mbps
122.114.131.154:4001      | 存活:3 | 均值:0.27Mbps | 峰值:0.33Mbps
171.14.89.119:9901        | 存活:3 | 均值:0.62Mbps | 峰值:0.83Mbps
42.49.176.207:808         | 存活:3 | 均值:8.27Mbps | 峰值:11.8Mbps
27.41.245.102:808         | 存活:3 | 均值:4.33Mbps | 峰值:9.45Mbps
39.89.117.222:8085        | 存活:3 | 均值:0.9Mbps | 峰值:1.08Mbps
223.95.198.3:8000         | 存活:3 | 均值:10.6Mbps | 峰值:15.45Mbps
183.129.255.66:8480       | 存活:3 | 均值:8.0Mbps | 峰值:11.88Mbps
119.36.6.89:1111          | 存活:3 | 均值:1.16Mbps | 峰值:1.9Mbps
122.114.131.154:4103      | 存活:3 | 均值:0.7Mbps | 峰值:1.05Mbps
180.165.12.42:50001       | 存活:3 | 均值:0.15Mbps | 峰值:0.19Mbps
36.136.38.87:9901         | 存活:3 | 均值:2.7Mbps | 峰值:5.0Mbps
183.236.10.36:8083        | 存活:3 | 均值:1.27Mbps | 峰值:3.52Mbps
122.226.23.150:8888       | 存活:3 | 均值:8.38Mbps | 峰值:11.45Mbps
144.0.23.162:8085         | 存活:3 | 均值:9.2Mbps | 峰值:12.09Mbps
120.202.94.181:9446       | 存活:3 | 均值:3.37Mbps | 峰值:11.29Mbps
120.196.235.42:9901       | 存活:3 | 均值:0.25Mbps | 峰值:0.36Mbps
61.182.89.14:808          | 存活:2 | 均值:6.06Mbps | 峰值:10.76Mbps
115.150.63.77:9902        | 存活:2 | 均值:1.24Mbps | 峰值:2.48Mbps
120.224.84.170:8085       | 存活:3 | 均值:7.48Mbps | 峰值:13.4Mbps
182.207.218.109:999       | 存活:3 | 均值:4.08Mbps | 峰值:9.43Mbps
124.88.238.50:82          | 存活:3 | 均值:5.87Mbps | 峰值:8.12Mbps
219.137.203.102:9901      | 存活:3 | 均值:1.35Mbps | 峰值:2.48Mbps
183.237.71.182:40000      | 存活:3 | 均值:2.89Mbps | 峰值:4.64Mbps
221.14.142.118:9003       | 存活:3 | 均值:6.45Mbps | 峰值:10.59Mbps
124.88.238.50:81          | 存活:3 | 均值:5.93Mbps | 峰值:8.41Mbps
113.15.109.216:59901      | 存活:3 | 均值:5.13Mbps | 峰值:9.11Mbps
144.0.23.4:8085           | 存活:3 | 均值:9.07Mbps | 峰值:11.58Mbps
219.137.203.226:9901      | 存活:3 | 均值:1.83Mbps | 峰值:3.2Mbps
39.164.138.145:9003       | 存活:3 | 均值:0.38Mbps | 峰值:0.5Mbps
122.114.131.154:4018      | 存活:3 | 均值:0.56Mbps | 峰值:0.74Mbps
106.46.169.202:9000       | 存活:3 | 均值:1.84Mbps | 峰值:3.77Mbps
59.174.116.246:7777       | 存活:3 | 均值:0.22Mbps | 峰值:0.85Mbps
222.85.50.27:6070         | 存活:3 | 均值:8.04Mbps | 峰值:10.76Mbps
123.14.89.116:8888        | 存活:2 | 均值:9.35Mbps | 峰值:12.67Mbps
1.25.139.206:9901         | 存活:1 | 均值:3.45Mbps | 峰值:4.88Mbps
113.141.220.55:9901       | 存活:3 | 均值:3.8Mbps | 峰值:6.04Mbps
175.11.73.53:9999         | 存活:3 | 均值:0.22Mbps | 峰值:0.45Mbps
111.221.137.199:44330     | 存活:3 | 均值:0.15Mbps | 峰值:0.29Mbps
113.88.211.62:9898        | 存活:3 | 均值:4.98Mbps | 峰值:11.71Mbps
106.115.24.186:9901       | 存活:1 | 均值:5.4Mbps | 峰值:9.97Mbps
123.13.245.230:9901       | 存活:3 | 均值:7.94Mbps | 峰值:10.86Mbps
171.8.86.180:9901         | 存活:3 | 均值:0.05Mbps | 峰值:0.11Mbps
183.223.157.33:9901       | 存活:3 | 均值:2.68Mbps | 峰值:3.71Mbps
