更新时间,#genre#
CCTV4,http://59.175.155.147:7777/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://221.232.196.240:7777/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://59.175.155.185:7777/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://59.45.161.118:8877/hls/4/index.m3u8
CCTV4,http://106.44.226.206:88/hls/4/index.m3u8
CCTV4,http://221.232.199.156:7777/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://122.114.131.154:4001/hls/4/index.m3u8
CCTV4,http://124.88.238.50:81/hls/4/index.m3u8
CCTV4,http://124.88.238.50:82/hls/4/index.m3u8
CCTV4,http://120.198.95.220:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&down=1
CCTV4,http://120.70.60.179:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://112.99.195.122:65000/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://223.95.198.3:8000/hls/4/index.m3u8
CCTV4,http://119.36.6.89:1111/hls/4/index.m3u8
CCTV4,http://124.93.18.236:81/hls/4/index.m3u8
CCTV4,http://124.93.18.236:81/hls/21/index.m3u8
CCTV4,http://124.93.18.134:81/hls/21/index.m3u8
CCTV4,http://124.93.18.133:81/hls/21/index.m3u8
CCTV4,http://124.93.18.132:81/hls/21/index.m3u8
CCTV4,http://124.93.18.135:81/hls/4/index.m3u8
CCTV4,http://122.226.23.150:8888/hls/4/index.m3u8
CCTV4,http://124.93.18.135:81/hls/21/index.m3u8
CCTV4,http://182.150.31.44:808/hls/4/index.m3u8
CCTV4,http://59.174.119.165:7777/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://124.93.18.134:81/hls/4/index.m3u8
CCTV4,http://124.93.18.132:81/hls/4/index.m3u8
CCTV4,http://219.140.6.129:7777/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://171.117.87.9:9003/hls/4/index.m3u8
CCTV4,http://124.93.18.133:81/hls/4/index.m3u8
CCTV4,http://221.226.67.66:8199/hls/4/index.m3u8
CCTV4,http://112.123.243.37:50085/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://61.184.46.85:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://59.174.116.246:7777/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://171.217.136.128:10001/hls/4/index.m3u8
CCTV4,http://180.165.12.42:50001/tsfile/live/0001_4.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://221.232.196.192:7777/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://59.174.117.160:7777/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://221.232.196.166:7777/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CETV4,http://111.43.126.240:7777/hls/36/index.m3u8
CETV4,http://101.18.30.205:808/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
CETV4,http://183.237.71.182:40000/hls/62/index.m3u8
CCTV5+,http://112.27.235.94:8000/hls/6/index.m3u8
CCTV5+,http://120.224.84.170:8085/hls/5/index.m3u8
CCTV5+,http://39.164.138.145:8899/hls/18/index.m3u8
CCTV5+,http://111.43.126.240:7777/hls/18/index.m3u8
CCTV5+,http://183.221.211.20:808/hls/18/index.m3u8
CCTV5+,http://61.182.89.14:808/hls/17/index.m3u8
