======================================================================
IPTV 酒店源流量测试报告 (2026-03-30 10:05:09)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
221.232.196.240:7777      | 四川卫视                 | 0.96   Mbps | 100%
221.232.196.240:7777      | CCTV11               | 0.62   Mbps | 100%
221.232.196.240:7777      | 黑龙江卫视                | 1.62   Mbps | 100%
221.232.196.243:7777      | 辽宁卫视                 | 2.75   Mbps | 0%
221.232.196.243:7777      | 河南卫视                 | 2.93   Mbps | 45%
221.232.196.243:7777      | CCTV11戏曲             | 1.69   Mbps | 100%
221.232.196.72:7777       | CCTV2财经              | 5.18   Mbps | 91%
221.232.196.72:7777       | 贵州卫视                 | 4.28   Mbps | 96%
221.232.196.95:7777       | CCTV7军农              | 1.81   Mbps | 0%
221.232.196.95:7777       | 江西卫视                 | 4.49   Mbps | 83%
221.232.196.95:7777       | 江苏卫视                 | 3.57   Mbps | 62%
221.232.197.101:7777      | CCTV3综艺              | 0.66   Mbps | 100%
221.232.197.101:7777      | CCTV8电视剧             | 2.05   Mbps | 100%
221.232.197.101:7777      | 四川卫视                 | 2.11   Mbps | 100%
221.232.197.194:7777      | 北京卫视                 | 0.71   Mbps | 100%
221.232.197.194:7777      | CCTV3综艺              | 1.99   Mbps | 100%
221.232.197.194:7777      | 湖北经视                 | 1.49   Mbps | 100%
221.232.197.218:7777      | CCTV2财经              | 4.12   Mbps | 67%
221.232.197.218:7777      | 东南卫视                 | 3.73   Mbps | 39%
221.232.197.218:7777      | CCTV8电视剧             | 2.56   Mbps | 0%
221.232.197.47:7777       | 四川卫视                 | 3.73   Mbps | 83%
221.232.197.47:7777       | 江西卫视                 | 2.67   Mbps | 25%
221.232.197.47:7777       | CCTV9纪录              | 2.6    Mbps | 4%
221.232.197.58:7777       | CCTV12社会与法           | 0.65   Mbps | 100%
221.232.197.58:7777       | CCTV10科教             | 1.27   Mbps | 100%
221.232.197.58:7777       | CCTV17               | 1.16   Mbps | 100%
221.232.198.155:7777      | CCTV13新闻             | 0.99   Mbps | 100%
221.232.198.155:7777      | CCTV15音乐             | 0.37   Mbps | 100%
221.232.198.155:7777      | CCTV11戏曲             | 0.97   Mbps | 100%
221.232.198.207:7777      | CCTV4国际              | 4.0    Mbps | 23%
221.232.198.207:7777      | 安徽卫视                 | 2.94   Mbps | 25%
221.232.198.207:7777      | 四川卫视                 | 2.29   Mbps | 100%
221.232.198.212:7777      | 天津卫视                 | 2.39   Mbps | 0%
221.232.198.212:7777      | 北京卫视                 | 2.18   Mbps | 100%
221.232.198.212:7777      | 黑龙江卫视                | 2.43   Mbps | 100%
221.232.199.156:7777      | CCTV2                | 4.42   Mbps | 71%
221.232.199.156:7777      | CCTV3                | 2.79   Mbps | 23%
221.232.199.156:7777      | 安徽卫视                 | 2.51   Mbps | 100%
221.7.175.127:9901        | 广西卫视                 | 0.15   Mbps | 100%
221.7.175.127:9901        | 嘉佳卡通                 | 0.11   Mbps | 100%
221.7.175.127:9901        | CCTV1                | 0.14   Mbps | 100%
222.214.208.34:59901      | CCTV10科教             | 2.63   Mbps | 8%
222.214.208.34:59901      | 四川卫视                 | 2.69   Mbps | 26%
222.214.208.34:59901      | 金鹰卡通                 | 2.79   Mbps | 48%
222.85.198.92:8000        | CCTV11戏曲             | 0.16   Mbps | 100%
222.85.198.92:8000        | CCTV7国防军事            | 0.38   Mbps | 100%
222.85.198.92:8000        | CCTV13               | 0.46   Mbps | 100%
222.85.50.152:6070        | CCTV8                | 6.94   Mbps | 24%
222.85.50.152:6070        | CCTV14               | 7.7    Mbps | 53%
222.85.50.152:6070        | 山东卫视                 | 7.26   Mbps | 39%
222.85.50.27:6070         | CCTV12               | 6.2    Mbps | 0%
222.85.50.27:6070         | CCTV5                | 7.3    Mbps | 41%
222.85.50.27:6070         | 浙江卫视                 | 7.09   Mbps | 28%
222.86.15.171:9999        | 浙江卫视                 | 0.1    Mbps | 100%
222.86.15.171:9999        | CCTV6电影              | 0.2    Mbps | 100%
222.86.15.171:9999        | 贵州卫视2                | 0.12   Mbps | 100%
223.14.160.46:9901        | 重庆卫视                 | 4.1    Mbps | 67%
223.14.160.46:9901        | CCTV11戏曲             | 3.0    Mbps | 1%
223.14.160.46:9901        | 湖北卫视                 | 4.39   Mbps | 63%
223.95.198.3:8000         | CCTV7国防军事            | 2.84   Mbps | 51%
223.95.198.3:8000         | CCTV8电视剧             | 0.56   Mbps | 100%
223.95.198.3:8000         | 海南卫视                 | 1.62   Mbps | 100%
27.129.145.110:4433       | 黑龙江卫视                | 2.24   Mbps | 100%
27.129.145.110:4433       | CCTV13               | 0.86   Mbps | 100%
27.129.145.110:4433       | CCTV16奥林匹克           | 0.37   Mbps | 100%
27.41.244.244:808         | 翡翠台                  | 3.12   Mbps | 41%
27.41.244.244:808         | 汕头综合                 | 3.46   Mbps | 0%
27.41.244.244:808         | 汕头经济生活               | 3.55   Mbps | 0%
27.41.245.102:808         | 汕头综合                 | 3.59   Mbps | 0%
27.41.245.102:808         | 凤凰中文                 | 4.35   Mbps | 0%
27.41.245.102:808         | 翡翠台                  | 3.08   Mbps | 9%
36.136.38.87:9901         | 安徽卫视                 | 0.94   Mbps | 43%
36.136.38.87:9901         | 广西新闻                 | 0.3    Mbps | 100%
36.136.38.87:9901         | 四川卫视                 | 0.93   Mbps | 0%
39.105.190.112:8009       | 涡阳综合                 | 1.68   Mbps | 0%
39.105.190.112:8009       | CCTV15               | 2.4    Mbps | 0%
39.164.138.145:8899       | CCTV14               | 0.44   Mbps | 100%
39.164.138.145:8899       | CCTV8                | 0.45   Mbps | 100%
39.164.138.145:8899       | 东南卫视                 | 0.51   Mbps | 100%
39.164.138.145:9003       | 安徽卫视                 | 0.42   Mbps | 100%
39.164.138.145:9003       | 吉林卫视                 | 0.38   Mbps | 100%
39.164.138.145:9003       | 河南国际                 | 0.49   Mbps | 30%
39.89.117.222:8085        | 9                    | 0.5    Mbps | 100%
39.89.117.222:8085        | 21                   | 0.62   Mbps | 100%
39.89.117.222:8085        | 14                   | 1.22   Mbps | 100%
39.89.8.237:8083          | 11                   | 1.25   Mbps | 100%
39.89.8.237:8083          | 8                    | 0.27   Mbps | 100%
39.89.8.237:8083          | 14                   | 0.22   Mbps | 100%
42.225.117.174:11199      | 金鹰卡通                 | 0.14   Mbps | 100%
42.225.117.174:11199      | 宁夏卫视                 | 0.12   Mbps | 100%
42.225.117.174:11199      | CCTV5体育              | 0.06   Mbps | 100%
42.49.176.207:808         | 湖南卫视                 | 9.59   Mbps | 84%
42.49.176.207:808         | 中央九台                 | 8.43   Mbps | 78%
42.49.176.207:808         | 中央十五台                | 3.74   Mbps | 0%
49.87.154.246:10091       | 浙江卫视                 | 0.25   Mbps | 100%
49.87.154.246:10091       | 东方卫视                 | 0.31   Mbps | 100%
58.255.200.38:808         | 东方卫视                 | 7.93   Mbps | 0%
58.255.200.38:808         | 广东影视                 | 8.36   Mbps | 0%
58.255.200.38:808         | 江西卫视                 | 8.78   Mbps | 81%
59.174.116.246:7777       | CCTV15               | 1.27   Mbps | 100%
59.174.116.246:7777       | CCTV1                | 1.01   Mbps | 100%
59.174.116.246:7777       | CCTV7                | 0.79   Mbps | 85%
59.174.117.160:7777       | 广东卫视                 | 0.97   Mbps | 100%
59.174.117.160:7777       | 贵州卫视                 | 0.6    Mbps | 100%
59.174.117.160:7777       | 湖北经视                 | 0.41   Mbps | 100%
59.174.119.165:7777       | 北京卫视                 | 0.16   Mbps | 100%
59.174.119.165:7777       | CCTV12               | 0.3    Mbps | 100%
59.174.119.165:7777       | CCTV13               | 0.23   Mbps | 100%
59.174.163.252:7777       | CCTV5                | 2.21   Mbps | 100%
59.174.163.252:7777       | 四川卫视                 | 1.23   Mbps | 100%
59.174.163.252:7777       | 浙江卫视                 | 1.24   Mbps | 100%
59.175.155.147:7777       | 安徽卫视                 | 0.68   Mbps | 100%
59.175.155.147:7777       | CCTV12               | 0.35   Mbps | 100%
59.175.155.147:7777       | 北京卫视                 | 0.66   Mbps | 100%
59.175.155.185:7777       | 辽宁卫视                 | 0.11   Mbps | 100%
59.175.155.185:7777       | 江苏卫视                 | 0.12   Mbps | 100%
59.175.155.185:7777       | CCTV9                | 0.09   Mbps | 100%
59.45.161.118:8877        | 西藏卫视                 | 7.38   Mbps | 42%
59.45.161.118:8877        | 海南卫视                 | 5.75   Mbps | 0%
59.45.161.118:8877        | 辽宁卫视                 | 7.03   Mbps | 26%
60.16.0.36:5757           | 都市剧场                 | 7.12   Mbps | 0%
60.16.0.36:5757           | 深圳卫视                 | 7.67   Mbps | 0%
60.16.0.36:5757           | 四川卫视                 | 7.59   Mbps | 0%
60.174.86.121:5080        | Q亳州农村                | 3.95   Mbps | 12%
60.174.86.121:5080        | Q亳州新闻                | 2.76   Mbps | 71%
60.187.244.84:9901        | 安徽卫视                 | 4.96   Mbps | 0%
60.187.244.84:9901        | CCTV3综艺              | 5.49   Mbps | 0%
60.187.244.84:9901        | 河北卫视                 | 3.14   Mbps | 0%
60.187.247.10:9901        | 广西卫视                 | 1.52   Mbps | 0%
60.187.247.10:9901        | CCTV3综艺              | 0.79   Mbps | 100%
60.187.247.10:9901        | CCTV4国际              | 2.65   Mbps | 0%
61.136.172.236:9901       | 四川卫视                 | 0.03   Mbps | 100%
61.136.172.236:9901       | 河南卫视                 | 0.04   Mbps | 100%
61.138.82.196:808         | CCTV12               | 7.37   Mbps | 39%
61.138.82.196:808         | 吉林卫视                 | 7.7    Mbps | 46%
61.138.82.196:808         | 新疆卫视                 | 3.76   Mbps | 88%
61.163.179.201:808        | CCTV9                | 8.36   Mbps | 85%
61.163.179.201:808        | CCTV12               | 7.71   Mbps | 82%
61.163.179.201:808        | 河南卫视                 | 6.69   Mbps | 51%
61.182.89.14:808          | CCTV5+               | 7.17   Mbps | 27%
61.182.89.14:808          | CCTV7国防军事            | 6.86   Mbps | 10%
61.182.89.14:808          | 江苏卫视                 | 7.46   Mbps | 49%
61.184.46.85:9901         | CCTV11               | 1.3    Mbps | 100%
61.184.46.85:9901         | 测试2                  | 1.59   Mbps | 100%
61.184.46.85:9901         | 卡酷少儿                 | 1.24   Mbps | 100%
61.185.200.206:9904       | CCTV10科教             | 2.65   Mbps | 0%
61.185.200.206:9904       | CCTV7军农              | 1.85   Mbps | 45%
61.52.66.240:8899         | 北京卫视                 | 8.88   Mbps | 86%
61.52.66.240:8899         | CCTV4中文国际            | 9.08   Mbps | 93%
61.52.66.240:8899         | 河北卫视                 | 8.4    Mbps | 0%

综合评估 (Summary):
122.114.131.154:4000      | 存活:3 | 均值:0.79Mbps | 峰值:1.07Mbps
120.27.63.14:30006        | 存活:2 | 均值:0.26Mbps | 峰值:0.45Mbps
112.255.253.148:9001      | 存活:3 | 均值:1.65Mbps | 峰值:2.78Mbps
119.166.230.171:8082      | 存活:3 | 均值:4.3Mbps | 峰值:8.92Mbps
171.117.87.9:9003         | 存活:3 | 均值:1.26Mbps | 峰值:2.12Mbps
125.42.148.11:9901        | 存活:2 | 均值:0.66Mbps | 峰值:0.8Mbps
119.39.198.50:808         | 存活:3 | 均值:3.54Mbps | 峰值:5.95Mbps
114.252.114.191:8899      | 存活:3 | 均值:7.6Mbps | 峰值:10.89Mbps
114.252.121.120:8899      | 存活:3 | 均值:7.23Mbps | 峰值:11.12Mbps
101.18.30.205:808         | 存活:3 | 均值:1.06Mbps | 峰值:2.05Mbps
221.232.197.58:7777       | 存活:3 | 均值:1.03Mbps | 峰值:1.45Mbps
221.232.196.95:7777       | 存活:3 | 均值:3.29Mbps | 峰值:5.4Mbps
119.166.226.162:8082      | 存活:3 | 均值:6.25Mbps | 峰值:9.5Mbps
60.16.0.36:5757           | 存活:3 | 均值:7.46Mbps | 峰值:9.99Mbps
144.0.23.230:8085         | 存活:3 | 均值:6.36Mbps | 峰值:10.88Mbps
59.175.155.147:7777       | 存活:3 | 均值:0.56Mbps | 峰值:0.75Mbps
218.19.109.116:808        | 存活:2 | 均值:5.12Mbps | 峰值:12.6Mbps
180.173.154.233:7777      | 存活:3 | 均值:0.13Mbps | 峰值:0.18Mbps
222.85.198.92:8000        | 存活:3 | 均值:0.33Mbps | 峰值:0.5Mbps
144.52.161.141:9901       | 存活:3 | 均值:0.27Mbps | 峰值:0.37Mbps
59.174.119.165:7777       | 存活:3 | 均值:0.23Mbps | 峰值:0.33Mbps
219.145.93.74:10000       | 存活:3 | 均值:1.14Mbps | 峰值:1.67Mbps
49.87.154.246:10091       | 存活:2 | 均值:0.28Mbps | 峰值:0.34Mbps
221.232.197.47:7777       | 存活:3 | 均值:3.0Mbps | 峰值:4.37Mbps
120.70.60.179:9901        | 存活:3 | 均值:4.26Mbps | 峰值:7.82Mbps
144.123.165.186:9901      | 存活:3 | 均值:0.51Mbps | 峰值:0.85Mbps
219.140.4.193:7777        | 存活:2 | 均值:1.62Mbps | 峰值:2.17Mbps
121.19.134.142:808        | 存活:3 | 均值:0.07Mbps | 峰值:0.11Mbps
61.185.200.206:9904       | 存活:2 | 均值:2.25Mbps | 峰值:4.48Mbps
106.44.226.206:88         | 存活:3 | 均值:4.85Mbps | 峰值:9.68Mbps
182.91.124.60:8801        | 存活:2 | 均值:2.21Mbps | 峰值:3.23Mbps
171.83.103.25:8800        | 存活:2 | 均值:6.74Mbps | 峰值:10.32Mbps
183.221.211.20:808        | 存活:3 | 均值:9.61Mbps | 峰值:14.25Mbps
221.232.199.156:7777      | 存活:3 | 均值:3.24Mbps | 峰值:5.53Mbps
112.27.235.94:8000        | 存活:3 | 均值:0.75Mbps | 峰值:1.67Mbps
119.39.198.130:808        | 存活:3 | 均值:3.44Mbps | 峰值:5.59Mbps
223.14.160.46:9901        | 存活:3 | 均值:3.83Mbps | 峰值:5.93Mbps
61.136.172.236:9901       | 存活:2 | 均值:0.04Mbps | 峰值:0.04Mbps
218.77.62.245:10999       | 存活:2 | 均值:2.31Mbps | 峰值:4.62Mbps
221.232.197.218:7777      | 存活:3 | 均值:3.47Mbps | 峰值:5.16Mbps
42.225.117.174:11199      | 存活:3 | 均值:0.11Mbps | 峰值:0.15Mbps
61.184.46.85:9901         | 存活:3 | 均值:1.38Mbps | 峰值:1.92Mbps
39.164.138.145:8899       | 存活:3 | 均值:0.47Mbps | 峰值:0.56Mbps
218.13.170.98:9901        | 存活:3 | 均值:0.42Mbps | 峰值:0.61Mbps
124.228.160.14:9901       | 存活:3 | 均值:0.39Mbps | 峰值:0.48Mbps
221.232.198.212:7777      | 存活:3 | 均值:2.33Mbps | 峰值:3.03Mbps
222.86.15.171:9999        | 存活:3 | 均值:0.14Mbps | 峰值:0.22Mbps
221.226.67.66:8199        | 存活:3 | 均值:0.67Mbps | 峰值:0.83Mbps
221.232.198.155:7777      | 存活:3 | 均值:0.78Mbps | 峰值:1.09Mbps
219.159.91.10:8801        | 存活:3 | 均值:0.59Mbps | 峰值:1.24Mbps
60.174.86.121:5080        | 存活:2 | 均值:3.35Mbps | 峰值:5.75Mbps
120.209.208.163:5080      | 存活:2 | 均值:3.87Mbps | 峰值:7.62Mbps
182.150.31.44:808         | 存活:2 | 均值:1.76Mbps | 峰值:3.93Mbps
221.232.196.204:7777      | 存活:3 | 均值:3.02Mbps | 峰值:7.4Mbps
144.0.23.80:8085          | 存活:3 | 均值:1.23Mbps | 峰值:2.26Mbps
110.53.218.182:9002       | 存活:3 | 均值:0.12Mbps | 峰值:0.14Mbps
113.57.20.185:1111        | 存活:3 | 均值:0.09Mbps | 峰值:0.12Mbps
125.40.199.223:8092       | 存活:3 | 均值:0.64Mbps | 峰值:0.92Mbps
59.175.155.185:7777       | 存活:3 | 均值:0.11Mbps | 峰值:0.13Mbps
221.232.196.72:7777       | 存活:2 | 均值:4.73Mbps | 峰值:5.99Mbps
219.140.6.129:7777        | 存活:3 | 均值:0.95Mbps | 峰值:1.42Mbps
59.174.117.160:7777       | 存活:3 | 均值:0.66Mbps | 峰值:1.07Mbps
123.130.84.106:8154       | 存活:3 | 均值:0.06Mbps | 峰值:0.07Mbps
182.91.124.224:8801       | 存活:3 | 均值:0.52Mbps | 峰值:1.14Mbps
27.41.244.244:808         | 存活:3 | 均值:3.38Mbps | 峰值:5.35Mbps
60.187.247.10:9901        | 存活:3 | 均值:1.65Mbps | 峰值:4.29Mbps
221.232.197.101:7777      | 存活:3 | 均值:1.61Mbps | 峰值:2.33Mbps
112.99.195.122:65000      | 存活:3 | 均值:0.6Mbps | 峰值:0.86Mbps
153.0.171.163:9901        | 存活:3 | 均值:0.65Mbps | 峰值:2.0Mbps
39.89.8.237:8083          | 存活:3 | 均值:0.58Mbps | 峰值:1.38Mbps
111.14.186.11:5009        | 存活:3 | 均值:7.82Mbps | 峰值:13.17Mbps
123.129.70.178:9901       | 存活:3 | 均值:0.53Mbps | 峰值:0.62Mbps
221.11.56.114:8888        | 存活:3 | 均值:1.6Mbps | 峰值:4.09Mbps
111.14.222.117:3333       | 存活:3 | 均值:9.83Mbps | 峰值:13.35Mbps
112.123.243.37:50085      | 存活:3 | 均值:2.22Mbps | 峰值:6.68Mbps
1.31.14.70:54321          | 存活:3 | 均值:0.8Mbps | 峰值:1.43Mbps
61.163.179.201:808        | 存活:3 | 均值:7.59Mbps | 峰值:10.43Mbps
39.105.190.112:8009       | 存活:2 | 均值:2.04Mbps | 峰值:3.28Mbps
183.129.211.142:808       | 存活:3 | 均值:5.76Mbps | 峰值:10.71Mbps
60.187.244.84:9901        | 存活:3 | 均值:4.53Mbps | 峰值:7.83Mbps
61.138.82.196:808         | 存活:3 | 均值:6.28Mbps | 峰值:10.62Mbps
111.120.8.205:9901        | 存活:2 | 均值:0.03Mbps | 峰值:0.04Mbps
221.7.175.127:9901        | 存活:3 | 均值:0.13Mbps | 峰值:0.16Mbps
116.228.170.214:888       | 存活:2 | 均值:0.41Mbps | 峰值:0.76Mbps
27.129.145.110:4433       | 存活:3 | 均值:1.16Mbps | 峰值:2.47Mbps
59.45.161.118:8877        | 存活:3 | 均值:6.72Mbps | 峰值:10.04Mbps
221.232.196.243:7777      | 存活:3 | 均值:2.46Mbps | 峰值:4.37Mbps
221.232.198.207:7777      | 存活:3 | 均值:3.08Mbps | 峰值:6.16Mbps
113.25.252.226:9901       | 存活:3 | 均值:1.25Mbps | 峰值:2.06Mbps
121.19.134.146:808        | 存活:3 | 均值:0.2Mbps | 峰值:0.39Mbps
219.139.124.61:8089       | 存活:3 | 均值:4.59Mbps | 峰值:7.31Mbps
120.198.95.220:9901       | 存活:3 | 均值:3.21Mbps | 峰值:5.15Mbps
123.160.235.104:9901      | 存活:3 | 均值:2.17Mbps | 峰值:4.01Mbps
1.24.39.180:808           | 存活:3 | 均值:6.54Mbps | 峰值:10.58Mbps
221.14.142.118:8000       | 存活:3 | 均值:0.88Mbps | 峰值:1.23Mbps
112.237.16.225:7001       | 存活:3 | 均值:6.66Mbps | 峰值:10.88Mbps
1.198.30.111:9901         | 存活:3 | 均值:6.32Mbps | 峰值:10.23Mbps
101.95.21.250:10081       | 存活:3 | 均值:0.29Mbps | 峰值:0.41Mbps
221.232.197.194:7777      | 存活:3 | 均值:1.4Mbps | 峰值:2.19Mbps
222.214.208.34:59901      | 存活:3 | 均值:2.7Mbps | 峰值:3.9Mbps
125.44.166.249:8888       | 存活:2 | 均值:7.78Mbps | 峰值:11.57Mbps
122.114.131.154:4007      | 存活:2 | 均值:0.78Mbps | 峰值:0.86Mbps
119.39.9.8:9901           | 存活:3 | 均值:3.74Mbps | 峰值:5.7Mbps
122.114.131.154:4021      | 存活:2 | 均值:0.73Mbps | 峰值:0.83Mbps
218.104.239.114:9901      | 存活:3 | 均值:1.62Mbps | 峰值:1.92Mbps
113.200.114.168:20000     | 存活:3 | 均值:3.4Mbps | 峰值:5.48Mbps
182.91.124.61:8801        | 存活:3 | 均值:0.65Mbps | 峰值:1.05Mbps
171.117.226.241:9003      | 存活:3 | 均值:0.59Mbps | 峰值:0.77Mbps
122.114.131.154:4001      | 存活:3 | 均值:0.51Mbps | 峰值:0.57Mbps
171.14.89.119:9901        | 存活:3 | 均值:0.53Mbps | 峰值:0.79Mbps
42.49.176.207:808         | 存活:3 | 均值:7.25Mbps | 峰值:13.28Mbps
221.232.196.192:7777      | 存活:3 | 均值:2.06Mbps | 峰值:3.3Mbps
27.41.245.102:808         | 存活:3 | 均值:3.67Mbps | 峰值:6.23Mbps
221.232.196.166:7777      | 存活:3 | 均值:1.8Mbps | 峰值:2.93Mbps
39.89.117.222:8085        | 存活:3 | 均值:0.78Mbps | 峰值:1.35Mbps
223.95.198.3:8000         | 存活:3 | 均值:1.67Mbps | 峰值:3.3Mbps
183.129.255.66:8480       | 存活:3 | 均值:6.36Mbps | 峰值:10.75Mbps
119.36.6.89:1111          | 存活:3 | 均值:0.97Mbps | 峰值:1.54Mbps
171.127.97.162:85         | 存活:3 | 均值:0.02Mbps | 峰值:0.04Mbps
122.114.131.154:4103      | 存活:1 | 均值:0.8Mbps | 峰值:0.88Mbps
180.165.12.42:50001       | 存活:3 | 均值:0.86Mbps | 峰值:1.16Mbps
36.136.38.87:9901         | 存活:3 | 均值:0.72Mbps | 峰值:1.95Mbps
183.236.10.36:8083        | 存活:2 | 均值:1.71Mbps | 峰值:2.29Mbps
122.226.23.150:8888       | 存活:3 | 均值:6.19Mbps | 峰值:10.09Mbps
144.0.23.162:8085         | 存活:3 | 均值:6.25Mbps | 峰值:10.6Mbps
120.202.94.181:9446       | 存活:3 | 均值:1.55Mbps | 峰值:2.05Mbps
120.196.235.42:9901       | 存活:3 | 均值:0.26Mbps | 峰值:0.34Mbps
61.182.89.14:808          | 存活:3 | 均值:7.16Mbps | 峰值:10.39Mbps
115.150.63.77:9902        | 存活:3 | 均值:1.41Mbps | 峰值:2.72Mbps
120.224.84.170:8085       | 存活:3 | 均值:9.52Mbps | 峰值:12.2Mbps
182.207.218.109:999       | 存活:3 | 均值:1.76Mbps | 峰值:4.41Mbps
124.88.238.50:82          | 存活:3 | 均值:5.54Mbps | 峰值:7.96Mbps
219.137.203.102:9901      | 存活:3 | 均值:1.46Mbps | 峰值:3.6Mbps
183.237.71.182:40000      | 存活:3 | 均值:3.18Mbps | 峰值:4.67Mbps
221.14.142.118:9003       | 存活:3 | 均值:0.75Mbps | 峰值:1.06Mbps
124.88.238.50:81          | 存活:3 | 均值:4.38Mbps | 峰值:7.72Mbps
113.15.109.216:59901      | 存活:3 | 均值:1.62Mbps | 峰值:3.6Mbps
144.0.23.4:8085           | 存活:3 | 均值:5.6Mbps | 峰值:10.81Mbps
219.137.203.226:9901      | 存活:3 | 均值:0.63Mbps | 峰值:1.35Mbps
39.164.138.145:9003       | 存活:3 | 均值:0.43Mbps | 峰值:0.66Mbps
122.114.131.154:4018      | 存活:3 | 均值:0.42Mbps | 峰值:0.58Mbps
124.116.183.146:9901      | 存活:3 | 均值:0.86Mbps | 峰值:1.27Mbps
106.46.169.202:9000       | 存活:3 | 均值:0.58Mbps | 峰值:0.85Mbps
59.174.163.252:7777       | 存活:3 | 均值:1.56Mbps | 峰值:2.44Mbps
59.174.116.246:7777       | 存活:3 | 均值:1.02Mbps | 峰值:1.4Mbps
221.232.196.240:7777      | 存活:3 | 均值:1.07Mbps | 峰值:1.8Mbps
221.13.232.181:1999       | 存活:3 | 均值:8.16Mbps | 峰值:10.98Mbps
221.13.232.239:1999       | 存活:3 | 均值:7.92Mbps | 峰值:11.3Mbps
222.85.50.27:6070         | 存活:3 | 均值:6.86Mbps | 峰值:10.54Mbps
222.85.50.152:6070        | 存活:3 | 均值:7.3Mbps | 峰值:10.96Mbps
171.15.151.14:9999        | 存活:3 | 均值:0.42Mbps | 峰值:0.49Mbps
14.106.98.110:888         | 存活:3 | 均值:4.23Mbps | 峰值:6.17Mbps
14.106.98.48:888          | 存活:3 | 均值:0.61Mbps | 峰值:1.06Mbps
218.19.108.49:808         | 存活:2 | 均值:4.57Mbps | 峰值:12.28Mbps
123.149.43.24:9901        | 存活:1 | 均值:1.86Mbps | 峰值:2.08Mbps
1.196.157.118:999         | 存活:3 | 均值:6.86Mbps | 峰值:10.85Mbps
171.43.65.155:9901        | 存活:3 | 均值:4.66Mbps | 峰值:8.75Mbps
123.14.89.116:8888        | 存活:2 | 均值:9.27Mbps | 峰值:11.58Mbps
58.255.200.38:808         | 存活:3 | 均值:8.36Mbps | 峰值:11.16Mbps
101.66.198.27:9901        | 存活:3 | 均值:1.69Mbps | 峰值:2.46Mbps
101.66.194.65:9901        | 存活:3 | 均值:2.43Mbps | 峰值:4.25Mbps
101.66.194.74:9901        | 存活:3 | 均值:1.7Mbps | 峰值:3.85Mbps
101.66.194.94:9901        | 存活:3 | 均值:1.48Mbps | 峰值:2.57Mbps
182.117.192.132:8888      | 存活:3 | 均值:8.77Mbps | 峰值:11.1Mbps
1.25.137.51:9901          | 存活:2 | 均值:4.16Mbps | 峰值:6.11Mbps
221.13.235.142:9901       | 存活:3 | 均值:6.11Mbps | 峰值:9.98Mbps
221.13.235.233:9901       | 存活:3 | 均值:7.59Mbps | 峰值:10.01Mbps
210.76.37.42:1234         | 存活:3 | 均值:4.48Mbps | 峰值:6.95Mbps
221.13.234.45:9901        | 存活:3 | 均值:6.19Mbps | 峰值:10.37Mbps
221.13.234.35:9901        | 存活:3 | 均值:4.39Mbps | 峰值:10.22Mbps
123.101.220.141:808       | 存活:3 | 均值:6.57Mbps | 峰值:9.62Mbps
106.115.27.21:9901        | 存活:3 | 均值:4.57Mbps | 峰值:9.11Mbps
1.25.139.206:9901         | 存活:2 | 均值:3.26Mbps | 峰值:4.63Mbps
183.21.68.120:3388        | 存活:3 | 均值:0.73Mbps | 峰值:1.26Mbps
125.46.176.226:60000      | 存活:3 | 均值:8.69Mbps | 峰值:10.83Mbps
113.141.220.55:9901       | 存活:3 | 均值:2.62Mbps | 峰值:3.88Mbps
175.11.73.53:9999         | 存活:3 | 均值:0.2Mbps | 峰值:0.4Mbps
111.221.137.199:44330     | 存活:3 | 均值:0.16Mbps | 峰值:0.27Mbps
61.52.66.240:8899         | 存活:3 | 均值:8.79Mbps | 峰值:11.36Mbps
113.88.211.62:9898        | 存活:3 | 均值:6.98Mbps | 峰值:11.85Mbps
106.115.24.7:9901         | 存活:2 | 均值:0.4Mbps | 峰值:0.81Mbps
106.115.24.186:9901       | 存活:3 | 均值:5.02Mbps | 峰值:9.02Mbps
123.13.245.230:9901       | 存活:3 | 均值:7.69Mbps | 峰值:10.09Mbps
106.115.25.180:9901       | 存活:2 | 均值:0.54Mbps | 峰值:0.94Mbps
183.223.157.33:9901       | 存活:3 | 均值:1.77Mbps | 峰值:2.75Mbps
101.66.199.89:9901        | 存活:3 | 均值:2.62Mbps | 峰值:7.73Mbps
101.66.199.172:9901       | 存活:2 | 均值:0.84Mbps | 峰值:1.62Mbps
101.66.199.213:9901       | 存活:3 | 均值:0.48Mbps | 峰值:0.71Mbps
