======================================================================
IPTV 酒店源流量测试报告 (2026-03-30 10:05:09)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
113.141.220.55:9901       | 四川卫视                 | 2.11   Mbps | 22%
113.141.220.55:9901       | CCTV9纪录              | 2.92   Mbps | 33%
113.15.109.216:59901      | CCTV17农业农村           | 0.65   Mbps | 100%
113.15.109.216:59901      | 广西卫视                 | 2.73   Mbps | 7%
113.15.109.216:59901      | 云南卫视                 | 1.49   Mbps | 0%
113.200.114.168:20000     | CCTV10               | 3.43   Mbps | 0%
113.200.114.168:20000     | CCTV11               | 3.49   Mbps | 0%
113.200.114.168:20000     | CCTV1综合              | 3.29   Mbps | 0%
113.25.252.226:9901       | 湖北卫视                 | 1.85   Mbps | 100%
113.25.252.226:9901       | 甘肃卫视                 | 1.1    Mbps | 14%
113.25.252.226:9901       | 吉林卫视                 | 0.8    Mbps | 100%
113.57.20.185:1111        | 浙江卫视                 | 0.11   Mbps | 100%
113.57.20.185:1111        | 东南卫视                 | 0.11   Mbps | 100%
113.57.20.185:1111        | CCTV15音乐             | 0.05   Mbps | 100%
113.88.211.62:9898        | CCTV2                | 8.62   Mbps | 0%
113.88.211.62:9898        | CETV1                | 3.91   Mbps | 72%
113.88.211.62:9898        | CCTV6                | 8.42   Mbps | 0%
114.252.114.191:8899      | 湖南卫视                 | 7.97   Mbps | 65%
114.252.114.191:8899      | 安徽卫视                 | 8.08   Mbps | 62%
114.252.114.191:8899      | 江西卫视                 | 6.76   Mbps | 0%
114.252.121.120:8899      | 安徽卫视                 | 8.38   Mbps | 74%
114.252.121.120:8899      | CCTV14少儿             | 7.04   Mbps | 2%
114.252.121.120:8899      | 江苏卫视                 | 6.26   Mbps | 0%
115.150.63.77:9902        | 精彩影视                 | 2.46   Mbps | 100%
115.150.63.77:9902        | CCTV15               | 1.3    Mbps | 100%
115.150.63.77:9902        | 生活时尚                 | 0.48   Mbps | 100%
116.228.170.214:888       | 江西卫视                 | 0.7    Mbps | 100%
116.228.170.214:888       | CCTV14少儿             | 0.12   Mbps | 100%
119.166.226.162:8082      | 湖南卫视                 | 6.28   Mbps | 0%
119.166.226.162:8082      | 山东齐鲁                 | 6.0    Mbps | 0%
119.166.226.162:8082      | CCTV4                | 6.47   Mbps | 0%
